,47,93,99,159
1959,0.051021017880883736,0.06175851097202097,0.03699864063456971,0.032497049728873816
1960,0.0472467039696453,0.06822282526036039,0.038992019083755595,0.029373293949072628
1961,0.049288370911390066,0.07149293027154063,0.04201891414787083,0.024874138492994805
1962,0.047721564127405636,0.07661834480197462,0.044590574556009364,0.021662873999811986
1963,0.03723189971182998,0.09076396331775019,0.04929000079236329,0.0257976804607384
1964,0.03689016849384052,0.09689241057050174,0.051880942170436976,0.020117299756752475
1965,0.028185216176650606,0.11090885919297852,0.0678864944721225,0.017928500639734647
1966,0.028036504921544688,0.11352568218031582,0.06711945764876903,0.012162485820828496
1967,0.026382800618554067,0.11987520288317763,0.06306152312548724,0.008084974503814842
1968,0.024376161775474567,0.12269678990092442,0.06521120061085138,0.005880852688434505
1969,0.0224309599047659,0.1300360970243614,0.06772692633090434,0.0056482984305301276
1970,0.021079458841463415,0.1362736824912892,0.07015053353658536,0.003044016768292683
1971,0.02106972006098311,0.13633498691738116,0.07390193772037612,0.0024347631375616985
1972,0.019782081928026458,0.1416781274217667,0.0741340308021437,0.0017600445332198174
1973,0.019112568685793713,0.1406199096496753,0.07450372477901092,0.0014164748170188736
1974,0.0191907841455443,0.13884223436060858,0.07447071248794156,0.0013791133286377808
1975,0.017619273403641958,0.14099009742969415,0.07420044940950996,0.0012408969304093563
1976,0.01755496914696194,0.13641457533874418,0.0745413661100668,0.0010847005287665378
1977,0.01706260890568121,0.1354955880342765,0.07607837360438158,0.000995329912052649
1978,0.016434579015578585,0.13495594690161652,0.07994157364494056,0.0008953285582476893
1979,0.015196408472058755,0.13653061381823414,0.08051128391470379,0.0008949267355025724
1980,0.01458769967826146,0.1335848689424366,0.07860509122753559,0.0010152752189627292
1981,0.014677610902243305,0.1353902984731873,0.08322540007479873,0.0015924256441548728
1982,0.015248498594690083,0.13332860807528427,0.08519026887627003,0.0013289788263004228
1983,0.014811756474916131,0.13467785724052875,0.08563059158078361,0.0012207053938052687
1984,0.014140198837802329,0.1326575256051046,0.08822553095696256,0.0014835889498377782
1985,0.01371627261342352,0.13211198271419916,0.0901873210306051,0.0013564336527439333
1986,0.014819830457349971,0.12892639474917955,0.09328816468583617,0.0012169899317942276
1987,0.014634062112573428,0.12270013226462595,0.0946185909500606,0.0015056756374084422
1988,0.014500392491826846,0.11160678033390377,0.09575597534970871,0.0017045574165917273
